,X2,Y2,Z2
180,-0.080078,-1.050781,-0.025391
181,-0.087891,-1.048828,-0.023438
182,-0.089844,-1.037109,-0.029297
183,-0.082031,-1.037109,-0.033203
184,-0.082031,-1.042969,-0.035156
185,-0.085938,-1.050781,-0.039063
186,-0.078125,-1.048828,-0.029297
187,-0.076172,-1.035156,-0.017578
188,-0.082031,-1.039063,-0.021484
189,-0.083984,-1.039063,-0.023438
190,-0.082031,-1.033203,-0.021484
191,-0.085938,-1.033203,-0.015625
192,-0.083984,-1.037109,-0.019531
193,-0.091797,-1.041016,-0.03125
194,-0.089844,-1.046875,-0.033203
195,-0.080078,-1.044922,-0.03125
196,-0.080078,-1.050781,-0.035156
197,-0.085938,-1.050781,-0.039063
198,-0.089844,-1.039063,-0.044922
199,-0.09375,-1.041016,-0.048828
200,-0.087891,-1.056641,-0.035156
201,-0.072266,-1.058594,-0.042969
202,-0.078125,-1.042969,-0.056641
203,-0.095703,-1.023438,-0.03125
204,-0.099609,-0.992188,-0.011719
205,-0.113281,-1.0,0.007813
206,-0.082031,-0.994141,-0.001953
207,-0.070313,-0.982422,-0.048828
208,-0.113281,-1.042969,-0.066406
209,-0.083984,-1.066406,-0.054688
210,-0.03125,-1.052734,-0.052734
211,-0.033203,-1.054688,-0.039063
212,-0.021484,-1.035156,-0.009766
213,-0.003906,-0.992188,0.017578
214,-0.056641,-1.007813,-0.005859
215,-0.09375,-1.048828,-0.037109
216,-0.080078,-1.056641,-0.035156
217,-0.085938,-1.048828,-0.042969
218,-0.087891,-1.023438,-0.033203
219,-0.078125,-1.009766,-0.023438
220,-0.083984,-1.035156,-0.021484
221,-0.09375,-1.052734,-0.029297
222,-0.103516,-1.048828,-0.039063
223,-0.097656,-1.052734,-0.042969
224,-0.087891,-1.064453,-0.039063
225,-0.078125,-1.060547,-0.021484
226,-0.064453,-1.044922,-0.013672
227,-0.058594,-1.037109,-0.013672
228,-0.064453,-1.037109,-0.023438
229,-0.076172,-1.039063,-0.033203
230,-0.087891,-1.037109,-0.025391
231,-0.095703,-1.046875,-0.023438
232,-0.083984,-1.052734,-0.023438
233,-0.080078,-1.037109,-0.027344
234,-0.080078,-1.023438,-0.033203
235,-0.080078,-1.029297,-0.033203
236,-0.082031,-1.039063,-0.029297
237,-0.082031,-1.039063,-0.029297
238,-0.082031,-1.039063,-0.037109
239,-0.082031,-1.044922,-0.035156
240,-0.091797,-1.042969,-0.03125
241,-0.091797,-1.035156,-0.027344
242,-0.082031,-1.03125,-0.025391
243,-0.074219,-1.033203,-0.027344
244,-0.068359,-1.037109,-0.021484
245,-0.070313,-1.044922,-0.021484
246,-0.070313,-1.035156,-0.03125
247,-0.066406,-1.027344,-0.039063
248,-0.066406,-1.044922,-0.037109
249,-0.078125,-1.060547,-0.03125
250,-0.091797,-1.052734,-0.046875
251,-0.080078,-1.048828,-0.0625
252,-0.066406,-1.039063,-0.060547
253,-0.070313,-1.025391,-0.048828
254,-0.074219,-1.023438,-0.037109
255,-0.072266,-1.013672,-0.025391
256,-0.072266,-1.017578,-0.025391
257,-0.082031,-1.044922,-0.048828
258,-0.09375,-1.076172,-0.058594
259,-0.123047,-1.089844,-0.035156
260,-0.119141,-1.095703,-0.044922
261,-0.09375,-1.09375,-0.070313
262,-0.078125,-1.080078,-0.056641
263,-0.076172,-1.068359,-0.042969
264,-0.095703,-1.044922,-0.046875
265,-0.099609,-1.041016,-0.03125
266,-0.091797,-1.0625,-0.015625
267,-0.107422,-1.074219,-0.019531
268,-0.083984,-1.089844,-0.021484
269,-0.070313,-1.095703,-0.023438
270,-0.103516,-1.066406,-0.039063
271,-0.089844,-1.035156,-0.050781
272,-0.064453,-1.050781,-0.056641
273,-0.068359,-1.0625,-0.054688
274,-0.070313,-1.054688,-0.042969
275,-0.066406,-1.054688,-0.035156
276,-0.078125,-1.054688,-0.029297
277,-0.091797,-1.050781,-0.025391
278,-0.082031,-1.041016,-0.035156
279,-0.068359,-1.039063,-0.037109
280,-0.068359,-1.035156,-0.033203
281,-0.072266,-1.03125,-0.035156
282,-0.070313,-1.039063,-0.035156
283,-0.074219,-1.042969,-0.037109
284,-0.072266,-1.041016,-0.042969
285,-0.070313,-1.044922,-0.046875
286,-0.076172,-1.042969,-0.037109
287,-0.078125,-1.037109,-0.027344
288,-0.074219,-1.044922,-0.029297
289,-0.072266,-1.044922,-0.021484
290,-0.074219,-1.046875,-0.017578
291,-0.082031,-1.050781,-0.035156
292,-0.085938,-1.046875,-0.048828
293,-0.080078,-1.046875,-0.044922
294,-0.070313,-1.041016,-0.044922
295,-0.068359,-1.017578,-0.044922
296,-0.074219,-1.005859,-0.044922
297,-0.083984,-1.025391,-0.039063
298,-0.087891,-1.037109,-0.046875
299,-0.085938,-1.033203,-0.052734
300,-0.097656,-1.0625,-0.056641
301,-0.111328,-1.050781,-0.037109
302,-0.109375,-1.037109,-0.017578
303,-0.068359,-1.042969,-0.029297
304,-0.033203,-1.005859,-0.017578
305,-0.046875,-0.972656,-0.003906
306,-0.058594,-0.966797,0.03125
307,-0.070313,-0.976563,0.048828
308,-0.080078,-0.988281,0.029297
309,-0.095703,-0.998047,0.009766
310,-0.113281,-1.0,-0.005859
311,-0.113281,-1.0,0.007813
312,-0.103516,-0.990234,-0.003906
313,-0.105469,-0.994141,-0.023438
314,-0.101563,-0.992188,-0.029297
315,-0.097656,-0.996094,-0.035156
316,-0.089844,-1.011719,-0.044922
317,-0.078125,-1.029297,-0.0625
318,-0.076172,-1.041016,-0.066406
319,-0.082031,-1.039063,-0.054688
320,-0.072266,-1.037109,-0.042969
321,-0.064453,-1.03125,-0.037109
