,X1,Y1,Z1
359,0.033203,-0.949219,0.001953
360,0.058594,-0.949219,0.015625
361,0.050781,-0.945313,0.027344
362,0.023438,-0.949219,0.048828
363,0.015625,-0.957031,0.060547
364,0.015625,-0.960938,0.054688
365,0.011719,-0.960938,0.0625
366,0.003906,-0.972656,0.058594
367,-0.009766,-0.978516,0.070313
368,0.001953,-0.966797,0.080078
369,0.015625,-0.966797,0.0625
370,0.009766,-0.964844,0.052734
371,0.021484,-0.947266,0.058594
372,0.027344,-0.9375,0.060547
373,0.037109,-0.933594,0.064453
374,0.050781,-0.935547,0.042969
375,0.054688,-0.941406,0.019531
376,0.054688,-0.949219,0.013672
377,0.046875,-0.955078,0.017578
378,0.035156,-0.964844,0.021484
379,0.039063,-0.966797,0.019531
380,0.044922,-0.96875,0.029297
381,0.046875,-0.976563,0.041016
382,0.046875,-0.964844,0.039063
383,0.050781,-0.958984,0.03125
384,0.050781,-0.970703,0.041016
385,0.048828,-0.972656,0.044922
386,0.021484,-0.964844,0.042969
387,0.005859,-0.962891,0.060547
388,0.013672,-0.964844,0.0625
389,0.015625,-0.953125,0.058594
390,0.021484,-0.947266,0.056641
391,0.033203,-0.945313,0.050781
392,0.042969,-0.943359,0.050781
393,0.042969,-0.943359,0.058594
394,0.044922,-0.943359,0.066406
395,0.048828,-0.947266,0.052734
396,0.048828,-0.939453,0.042969
397,0.052734,-0.933594,0.041016
398,0.054688,-0.941406,0.033203
399,0.044922,-0.947266,0.041016
400,0.042969,-0.949219,0.041016
401,0.007813,-0.957031,0.039063
402,-0.021484,-0.933594,0.056641
403,-0.003906,-0.912109,0.076172
404,0.009766,-0.923828,0.0625
405,0.025391,-0.945313,0.025391
406,0.050781,-0.974609,0.011719
407,0.052734,-0.978516,0.027344
408,0.025391,-0.978516,0.042969
409,0.021484,-0.976563,0.046875
410,0.027344,-0.976563,0.056641
411,0.023438,-0.982422,0.066406
412,0.033203,-0.970703,0.064453
413,0.039063,-0.957031,0.060547
414,0.042969,-0.953125,0.041016
415,0.050781,-0.943359,0.007813
416,0.054688,-0.939453,0.015625
417,0.050781,-0.953125,0.035156
418,0.033203,-0.966797,0.042969
419,0.033203,-0.972656,0.042969
420,0.054688,-0.955078,0.035156
421,0.056641,-0.943359,0.035156
422,0.033203,-0.986328,0.021484
423,0.042969,-1.044922,-0.041016
424,0.085938,-1.009766,-0.085938
425,0.087891,-0.964844,-0.050781
426,0.050781,-0.974609,-0.005859
427,0.021484,-0.949219,0.021484
428,-0.015625,-0.976563,0.068359
429,-0.023438,-1.005859,0.085938
430,-0.017578,-0.998047,0.099609
431,-0.003906,-0.970703,0.078125
432,0.029297,-0.941406,0.027344
433,0.023438,-0.957031,0.035156
434,0.029297,-0.970703,0.037109
435,0.037109,-0.976563,0.042969
436,0.035156,-0.972656,0.058594
437,0.037109,-0.958984,0.046875
438,0.003906,-0.953125,0.082031
439,0.013672,-0.933594,0.066406
440,0.029297,-0.914063,0.037109
441,0.015625,-0.923828,0.068359
